2025/12/19 16:24:56.658377 Creating new node at port :5009
2025/12/19 16:24:56.888018 Created new node
2025/12/19 16:24:56.888902 Connected with peers
2025/12/19 16:24:56.893823 Node running on :5009
2025/12/19 16:24:56.894447 Connected with node: :5007
2025/12/19 16:24:56.894447 Connected with node: :5008
2025/12/19 16:25:02.522691 [:5009] ResetDB: cleared state seq=0 ballot=0 logs=0 twoPC=0 leader=:5007
2025/12/19 16:25:02.540077 Connected with node: :5008
2025/12/19 16:25:02.540077 Connected with node: :5007
2025/12/19 16:25:02.678023 [:5009] ResetDB: balances reset to 10 for shard 6001-9000
2025/12/19 16:25:03.161696 For node :5009 disabled? true
2025/12/19 16:25:03.827963 [:5009] Accept2PC: disabled
2025/12/19 16:25:03.875382 [:5009] Accept2PC: disabled
2025/12/19 16:25:03.875471 [:5009] Accept2PC: disabled
2025/12/19 16:25:03.890544 [:5009] Accept2PC: disabled
2025/12/19 16:25:03.938082 [:5009] Accept2PC: disabled
2025/12/19 16:25:03.965788 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.029053 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.029053 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.039444 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.077312 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.077312 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.093433 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.139097 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.166868 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.231010 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.231010 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.240690 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.278492 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.279044 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.294191 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.339773 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.368357 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.431574 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.431574 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.441957 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.480267 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.480531 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.495256 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.540189 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.568771 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.632179 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.632179 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.642861 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.681234 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.681234 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.696194 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.740900 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.770109 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.833596 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.833596 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.844099 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.881378 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.881378 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.897381 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.941660 [:5009] Accept2PC: disabled
2025/12/19 16:25:04.970468 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.034218 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.034218 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.044582 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.082314 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.082844 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.097981 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.142162 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.171171 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.235894 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.235894 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.245406 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.286921 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.286921 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.298053 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.342693 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.371995 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.436897 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.436897 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.447104 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.486986 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.487612 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.499580 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.543893 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.573449 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.638599 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.638599 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.647206 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.688055 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.688055 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.700694 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.745101 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.774312 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.838938 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.838938 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.848627 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.888786 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.888786 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.900861 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.945961 [:5009] Accept2PC: disabled
2025/12/19 16:25:05.975475 [:5009] Accept2PC: disabled
2025/12/19 16:25:06.039383 [:5009] Accept2PC: disabled
2025/12/19 16:25:06.039913 [:5009] Accept2PC: disabled
2025/12/19 16:25:06.050269 [:5009] Accept2PC: disabled
2025/12/19 16:25:06.090581 [:5009] Accept2PC: disabled
